"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"PF";30;"DET";44;16;22.5;39.7;2.3;4.5;50;1.4;1.8;77.2;0.5;3.4;3.9;1.6;0.6;0.3;1.6;2.4;11
"PF";30;"LAL";14;1;14.2;33.3;1.1;2.1;50;0.4;0.4;83.3;1.1;2.1;3.2;0.6;0.4;0.4;0.4;2.1;5.3
"PG";24;"DEN";73;12;22.4;37.8;2.7;5.4;49.5;1;1.2;84.3;0.3;1.5;1.9;3.5;0.8;0.2;0.7;1;9
"PF";24;"LAC";13;0;3.2;100;0.8;1.1;71.4;0.4;0.5;71.4;0.2;0.5;0.8;0.6;0.2;0;0.4;0.5;2.2
"PG";23;"UTA";54;2;15.7;34.5;2.2;4.4;50.4;1.2;1.5;75.9;0.3;2;2.3;2.1;0.4;0.2;1.4;1.3;7.3
"SG";25;"GSW";7;3;29.1;30.8;1.4;2.1;66.7;1.3;1.7;75;0.4;2.9;3.3;1.1;0.3;0.1;0.7;2.9;11
"PG";23;"SAS";66;58;25.6;36.9;3.8;8;48.1;1.4;1.7;79.8;1;4.8;5.8;4.1;1.7;0.3;1.9;2.2;10.9
"PG";22;"DEN";59;59;32.3;34.6;5;9.7;51.9;2.8;3.1;88.1;0.8;3.2;4;4.8;1.1;0.3;2.2;1.7;18.5
"SF";20;"BRK";40;0;12.2;24.4;1.1;2.4;47.9;1.1;1.5;75;0.5;1.6;2.2;1.1;0.4;0;0.9;0.8;4.8
"C";28;"OKC";47;2;12.2;37.8;0.5;1;50;0.4;0.5;81.8;0.3;2;2.3;0.9;0.2;0.3;0.4;1.2;4.8
"SF";22;"DET";56;27;22.6;40.4;0.9;2.1;42.5;1;1.3;81.4;0.3;1.6;1.9;1.9;0.7;0.1;1.1;1.6;9
"SF";26;"OKC";55;6;15.8;37.5;1.4;2.5;55.6;0.9;1.2;77.3;0.3;1.6;1.8;0.7;0.4;0.4;0.8;1.4;6.3
"C";27;"CLE";56;10;26.3;35.2;3.1;4.9;63.6;0.9;1.3;67.6;1.9;5.4;7.3;2.2;1;0.4;1.1;1.6;10.1
"PG";28;"MIN";36;22;23.8;29.6;1.9;3.4;54;2;2.4;81.8;0.5;2.6;3.1;5.2;1.1;0.2;2.1;1.7;9.6
"PG";28;"WAS";20;10;24.4;35.8;2.3;4.6;48.9;2.7;3.3;83.1;0.5;2;2.4;3.8;1.5;0.2;2.6;2;11.6
"PG";27;"PHI";54;3;12.4;38.6;1.2;2.5;50;0.7;0.9;83;0.2;0.9;1.1;1.8;0.4;0.1;0.9;0.9;5.1
"SG";22;"CLE";1;0;4;0;0;1;0;2;2;100;0;0;0;0;0;0;1;0;2
"PF";26;"UTA";66;1;14;40;0.8;1.5;52.6;0.3;0.4;83.3;0.2;1.7;1.9;0.7;0.3;0.1;0.5;1.1;5.9
"C";34;"LAC";5;0;10;NA;0.8;1.6;50;1.2;1.6;75;1;2.2;3.2;1.4;0.2;0.2;1.2;1.8;2.8
"C";25;"OKC";61;7;18.5;33.3;3;4.4;68.8;1.3;1.7;75.5;1.5;3.4;4.9;0.9;1;1.5;1.1;2.7;7.4
"SG";22;"TOT";5;0;8.2;37.5;0;0.8;0;0.2;0.2;100;0;1.2;1.2;0.6;0.4;0;0.6;0.8;2
"SG";22;"LAL";2;0;2.5;NA;0;0.5;0;0;0;NA;0;0.5;0.5;0;0;0;0;0;0
"SG";22;"GSW";3;0;12;37.5;0;1;0;0.3;0.3;100;0;1.7;1.7;1;0.7;0;1;1.3;3.3
"SG";20;"MIN";15;0;10.1;11.5;1.1;1.8;59.3;1.1;1.1;94.1;0.2;0.7;0.9;1.3;0.2;0.1;0.2;0.7;3.8
"PG";21;"NYK";57;26;20.8;32.1;1.5;3.4;44.4;0.9;1;86.4;0.4;1.7;2.1;3;0.9;0.3;1.2;2.5;6.3
"SG";24;"MIA";67;67;29.3;35;3.9;7.8;50.5;1.3;1.5;85;0.3;2.4;2.7;3.3;0.8;0.2;1.7;2.3;15.3
"C";25;"POR";8;8;31.6;20;6.5;12.4;52.5;3.9;4.4;88.6;2.9;7.4;10.3;4;1.4;2;2.4;4.9;17.6
"SF";27;"BRK";20;0;13.4;42.9;1.3;2.2;58.1;0.9;1.4;66.7;0.4;1.9;2.3;0.4;0.6;0.6;0.4;1.6;5.2
"PF";26;"UTA";71;62;28.9;37.7;0.9;1.7;54.5;0.6;0.8;76.4;0.4;5.1;5.5;2.5;0.8;0.5;0.9;2.8;6.3
"C";29;"PHI";29;2;10.8;25.9;1.2;2;60.3;0.4;0.7;55;1.2;2.8;4;1.8;0.2;0.8;0.7;1.3;3.5
"PF";25;"BOS";69;6;14.7;37.8;0.5;1;46.4;0.4;0.5;87.5;0.4;1.7;2.1;0.5;0.3;0.1;0.3;1.2;3.4
"C";24;"NOP";30;9;15.6;33.3;3.3;5.3;62.9;1.3;2.1;64.5;1.6;2.6;4.2;1.2;0.2;0.7;1.3;2.2;8.1
"SG";21;"MIN";62;28;25;26.6;2.1;3.9;52.9;2.5;3.1;79.6;1.4;2.9;4.3;1.6;1.1;0.4;1.4;2.2;8.6
"SF";20;"MIA";5;0;5.2;0;0.6;0.8;75;0.2;0.4;50;0.2;0.8;1;0.2;0.4;0.2;0.2;0.4;1.4
"SG";27;"IND";19;16;27.8;31.7;3.4;7.5;45.1;2.5;3.1;81.4;0.5;3.5;3.9;2.9;0.9;0.2;2.5;1.9;14.5
"C";28;"MIA";67;9;19.4;40.6;1.3;2.4;54.3;1.3;1.5;86;0.7;3.9;4.6;1.7;0.7;0.3;1.1;2.6;8.2
"SG";22;"UTA";10;1;10.9;36.8;0.5;1.3;38.5;0.4;0.5;80;0.5;1.2;1.7;0.4;0.4;0.2;0.4;0.9;3.5
